CNN,STREET,COLOR
26034000,HAIGHT,Green
27284000,06TH AVE,Green
27284000,GEARY,Green
23564000,03RD ST,Green
23564000,20TH ST,Green
26748000,LOMBARD,Green
26748000,WEBSTER,Green
7038000,HOWARD,Green
7038000,MIDBLOCK AT,Green
7038000,03RD ST,Green
7038000,04TH ST,Green
24610000,MISSION,Green
24610000,NEW MONTGOMERY,Green
22341000,BURNETT,Green
22341000,CLIPPER,Red
22341000,PORTOLA,Green
20460000,03RD ST,Green
20460000,JAMESTOWN,Green
26056000,DIVISADERO,Green
26056000,GROVE,Green
25026000,STOCKTON,Green
25026000,WASHINGTON,Green
33570000,ARGENT,Green
33570000,MARKET,Green
26827000,BAKER,Green
26827000,CALIFORNIA,Green
24673000,FRONT,Green
24673000,PINE,Green
24241000,13TH ST,Green
24241000,SOUTH VAN NESS,Green
24241000,US 101 ON RAMP,Green
26532000,BUCHANAN,Green
26532000,PINE,Green
27302000,11TH AVE,Green
27302000,GEARY,Green
24510000,02ND ST,Green
24510000,HARRISON,Green
24514000,FOLSOM,Yellow
24514000,HAWTHORNE,Green
25953000,FILLMORE,Green
25953000,HAYES,Green
24168000,16TH ST,Green
24168000,CAPP,Green
20457000,03RD ST,Green
20457000,EGBERT,Green
28173000,FELTON,Green
28173000,SAN BRUNO,Green
26420000,CLAYTON,Green
26420000,FELL,Green
27377000,20TH AVE,Green
27377000,LINCOLN,Green
27569000,CALIFORNIA,Green
27569000,CHERRY,Red
27569000,JORDAN,Green
26490000,EDDY,Green
26490000,GOUGH,Green
22222000,BRIGHTON,Green
22222000,OCEAN,Green
26538000,CLAY,Green
26538000,FRANKLIN,Green
23798000,04TH ST,Green
23798000,KING,Green
26811000,BAKER,Green
26811000,GEARY,Green
26811000,SAINT JOSEPHS,Green
24431000,GOLDEN GATE,Green
24431000,HYDE,Green
25148000,EDDY,Green
25148000,LARKIN,Green
23941000,06TH ST,Green
23941000,FOLSOM,Green
21173000,CESAR CHAVEZ,Green
21173000,HARRISON,Green
25942000,GOLDEN GATE,Green
25942000,GOUGH,Green
20502000,03RD ST,Green
20502000,THOMAS,Green
20502000,THORNTON,Green
22460000,ALEMANY,Green
22460000,REGENT,Red
22460000,SAN JOSE,Red
22460000,US I-280 ON RAMP,Green
23567000,03RD ST,Yellow
23567000,19TH ST,Green
24302000,08TH ST,Green
24302000,NATOMA,Green
24335000,15TH ST,Green
24335000,FOLSOM,Green
24434000,GROVE,Green
24434000,LARKIN,Green
26641000,CALIFORNIA,Green
26641000,SCOTT,Green
24563000,01ST ST,Green
24563000,MISSION,Green
27444000,FULTON,Green
27444000,PARK PRESIDIO,Green
25465000,COLUMBUS,Green
25465000,LOMBARD,Red
25465000,NEWELL,Green
23963000,23RD ST,Green
23963000,POTRERO,Green
24595000,HAWTHORNE,Green
24595000,HOWARD,Green
20427000,ESQUINA,Green
20427000,GENEVA,Green
27258000,08TH AVE,Green
27258000,FULTON,Green
26348000,ASHBURY,Green
26348000,FELL,Green
26552000,VALLEJO,Green
26552000,VAN NESS,Green
30710000,COLUMBUS,Green
30710000,FILBERT,Green
21426000,GENEVA,Green
21426000,NAPLES,Green
24294000,06TH ST,Green
24294000,JESSIE,Green
20657000,03RD ST,Green
20657000,PERRY,Green
25623000,22ND ST,Green
25623000,GUERRERO,Green
25677000,18TH ST,Green
25677000,GUERRERO,Green
27562000,ARGUELLO,Green
27562000,EUCLID,Green
21522000,ALEMANY,Green
21522000,HURON,Green
21522000,OTTAWA,Green
32856000,JOHN F KENNEDY,Green
32856000,STANYAN,Green
27501000,18TH AVE,Yellow
27501000,GEARY,Green
26802000,DIVISADERO,Green
26802000,O'FARRELL,Green
21835000,APPLETON,Green
21835000,MISSION,Green
26758000,BEACH,Green
26758000,BUCHANAN,Red
26758000,MARINA,Green
27527000,28TH AVE,Green
27527000,FULTON,Green
34161000,03RD ST,Green
34161000,MISSION BAY SOUTH,Green
26751000,FILLMORE,Green
26751000,LOMBARD,Green
27287000,07TH AVE,Green
27287000,CLEMENT,Green
24949000,BUSH,Green
24949000,MASON,Green
24248000,10TH ST,Green
24248000,HOWARD,Green
26546000,GOUGH,Green
26546000,JACKSON,Green
25744000,24TH ST,Green
25744000,CASTRO,Green
30746000,10TH ST,Green
30746000,FELL,Green
30746000,MARKET,Green
30746000,POLK,Green
20491000,03RD ST,Green
20491000,LANE,Green
20491000,YOSEMITE,Green
26908000,COLLINS,Green
26908000,GEARY,Green
24560000,FREMONT,Green
24560000,MISSION,Green
21337000,FAIR,Green
21337000,MISSION,Green
21337000,VALENCIA,Green
24390000,GOUGH,Green
24390000,MCCOPPIN,Green
24390000,OTIS,Green
30729000,BEALE,Green
30729000,DAVIS,Green
30729000,MARKET,Green
30729000,PINE,Green
24018000,16TH ST,Green
24018000,UTAH,Green
24228000,13TH ST,Green
24228000,HARRISON,Green
25255000,HYDE,Green
25255000,SACRAMENTO,Green
27365000,18TH AVE,Green
27365000,JUDAH,Green
24291000,07TH ST,Green
24291000,MINNA,Green
24463000,GOLDEN GATE,Green
24463000,POLK,Green
23607000,FOLSOM,Green
23607000,SPEAR,Green
20465000,03RD ST,Green
20465000,US 101 OFF RAMP,Green
26607000,FILLMORE,Green
26607000,SUTTER,Green
24358000,12TH ST,Green
24358000,MISSION,Green
24358000,OTIS,Green
24358000,SOUTH VAN NESS,Green
25442000,COLUMBUS,Green
25442000,GREENWICH,Green
25442000,MASON,Green
24895000,CYRIL MAGNIN,Green
24895000,ELLIS,Green
27286000,06TH AVE,Green
27286000,CLEMENT,Green
19999000,OWENS,Green
19999000,MIDBLOCK AT,Green
19999000,UCSF GARAGE,Green
23807000,03RD ST,Green
23807000,TOWNSEND,Green
27285000,07TH AVE,Green
27285000,GEARY,Green
24201000,08TH ST,Green
24201000,FWY EXIT,Green
24201000,HARRISON,Green
23161000,19TH AVE,Green
23161000,ULLOA,Green
25204000,BUSH,Yellow
25204000,LARKIN,Green
24440000,GOLDEN GATE,Green
24440000,LARKIN,Green
24462000,MCALLISTER,Green
24462000,POLK,Green
33209000,BAYSHORE,Green
33209000,HESTER,Green
23907000,04TH ST,Green
23907000,CLARA,Green
21552000,ACTON,Green
21552000,MISSION,Red
21552000,SICKLES,Green
25156000,HYDE,Green
25156000,POST,Green
23383000,SUNSET,Green
23383000,ULLOA,Green
20234000,03RD ST,Green
20234000,BURKE,Green
25089000,PINE,Green
25089000,TAYLOR,Green
24436000,HAYES,Green
24436000,POLK,Green
50158000,EMBARCADERO,Green
50158000,GREEN,Green
25486000,JEFFERSON,Green
25486000,MASON,Green
20504000,03RD ST,Green
20504000,LANE,Green
20504000,VAN DYKE,Green
20504000,WILLIAMS,Green
24586000,FOLSOM,Green
24586000,MABINI,Green
