CNN,STREET,COLOR
25231000,LEAVENWORTH,Green
24597000,02ND ST,Green
24597000,MISSION,Green
23782000,04TH ST,Green
23782000,16TH ST,Green
25206000,LARKIN,Green
25206000,PINE,Green
22459000,CAPITOL,Green
22459000,SAGAMORE,Green
24097000,25TH ST,Green
24097000,VALENCIA,Green
27541000,23RD AVE,Green
27541000,GEARY,Green
30733000,MARKET,Green
30733000,SANSOME,Green
30733000,SUTTER,Green
22865000,DEWEY,Green
22865000,LAGUNA HONDA,Green
22865000,WOODSIDE,Green
24554000,BEALE,Green
24554000,MISSION,Green
27333000,19TH AVE,Green
27333000,ORTEGA,Green
12556202,EMBARCADERO,Green
12556202,MIDBLOCK AT,Green
12556202,PIER 23,Green
26039000,FELL,Green
26039000,PIERCE,Green
24158000,19TH ST,Green
24158000,VALENCIA,Green
25064000,PACIFIC,Green
25064000,POWELL,Green
24414000,10TH ST,Yellow
24414000,MISSION,Green
25592000,NORTH POINT,Green
25592000,TAYLOR,Green
25574000,HYDE,Green
25574000,NORTH POINT,Green
24119000,21ST ST,Green
24119000,VALENCIA,Green
23196000,19TH AVE,Green
23196000,SANTIAGO,Green
26350000,BAKER,Green
26350000,FELL,Green
26545000,GOUGH,Green
26545000,WASHINGTON,Green
23990000,24TH ST,Green
23990000,FOLSOM,Green
24920000,MASON,Green
24920000,SUTTER,Green
27196000,05TH AVE,Green
27196000,LINCOLN,Green
11456000,SAN JOSE,Green
11456000,MIDBLOCK AT,Green
11456000,OCEAN,Green
11456000,SENECA,Green
24055000,16TH ST,Green
24055000,HARRISON,Green
24055000,TREAT,Green
26833000,BUSH,Green
26833000,LYON,Green
54097000,CAMPUS,Green
54097000,OWENS,Green
26533000,CALIFORNIA,Green
26533000,LAGUNA,Green
27504000,19TH AVE,Green
27504000,GEARY,Green
24403000,DUBOCE,Green
24403000,VALENCIA,Green
25971000,FILLMORE,Green
25971000,GOLDEN GATE,Green
25913000,FELL,Green
25913000,LAGUNA,Green
25182000,GEARY,Green
25182000,POLK,Green
27881000,43RD AVE,Green
27881000,FULTON,Green
25364000,COLUMBUS,Green
25364000,UNION,Green
24542000,01ST ST,Yellow
24542000,MINNA (TRANSBAY DRIVEWAY),Green
27080000,04TH AVE,Green
27080000,IRVING,Green
21551000,LAWRENCE,Green
21551000,MISSION,Red
21551000,OLIVER,Green
27243000,05TH AVE,Green
27243000,BALBOA,Green
24017000,17TH ST,Green
24017000,UTAH,Green
24279000,FOLSOM,Green
24279000,RUSS,Green
24170000,16TH ST,Green
24170000,MISSION,Green
167000,03RD ST,Green
167000,MIDBLOCK AT,Green
167000,HOWARD,Green
167000,MISSION,Green
24572000,EMBARCADERO,Green
24572000,WASHINGTON,Green
30755000,MARKET,Green
30755000,VALENCIA,Green
25200000,POLK,Green
25200000,POST,Green
24675000,BATTERY,Green
24675000,CALIFORNIA,Green
23551000,03RD ST,Green
23551000,23RD ST,Green
27813000,30TH AVE,Green
27813000,FULTON,Green
25593000,JONES,Green
25593000,NORTH POINT,Green
20574000,BAYSHORE,Green
20574000,PAUL,Green
26037000,FELL,Green
26037000,FILLMORE,Green
23953000,24TH ST,Green
23953000,POTRERO,Green
22190000,GENEVA,Green
22190000,HOWTH,Green
20517000,03RD ST,Green
20517000,BANCROFT,Green
26437000,FELL,Green
26437000,SHRADER,Green
26548000,PACIFIC,Green
26548000,VAN NESS,Green
25308000,BROADWAY,Yellow
25308000,LARKIN,Green
24165000,17TH ST,Green
24165000,MISSION,Green
20298000,ARLETA,Green
20298000,BAYSHORE,Red
20298000,SAN BRUNO,Green
33512000,LAKE MERCED,Green
33512000,WINSTON,Green
21023000,BAYSHORE,Green
21023000,CORTLAND,Green
26763000,CHESTNUT,Green
26763000,FILLMORE,Green
24740000,KEARNY,Green
24740000,PINE,Green
25840000,15TH ST,Green
25840000,DOLORES,Green
21783000,ADMIRAL,Green
21783000,ALEMANY,Red
21783000,LYELL,Green
26800000,DIVISADERO,Green
26800000,ELLIS,Green
26351000,BAKER,Green
26351000,HAYES,Green
30021000,03RD ST,Green
30021000,TERRY FRANCOIS,Green
25013000,POWELL,Green
25013000,SACRAMENTO,Green
25202000,LARKIN,Green
25202000,SUTTER,Green
24285000,06TH ST,Green
24285000,MINNA,Green
24655000,GEARY,Green
24655000,GRANT,Green
25882000,14TH ST,Green
25882000,CHURCH,Green
25882000,MARKET,Green
26973000,LOMBARD,Green
26973000,SCOTT,Green
26070000,DIVISADERO,Green
26070000,GOLDEN GATE,Green
24996000,SACRAMENTO,Green
24996000,STOCKTON,Green
24707000,BATTERY,Green
24707000,PACIFIC,Green
23856000,07TH ST,Green
23856000,BRANNAN,Green
21837000,DOLORES,Yellow
21837000,RANDALL,Green
21837000,SAN JOSE,Green
21897000,CESAR CHAVEZ,Green
21897000,GUERRERO,Green
24126000,18TH ST,Green
24126000,FOLSOM,Green
27853000,32ND AVE,Green
27853000,GEARY,Green
21345000,CESAR CHAVEZ,Green
21345000,VALENCIA,Green
51153000,BROTHERHOOD,Green
51153000,ST CHARLES,Green
26521000,BUSH,Green
26521000,OCTAVIA,Green
26327000,LYON,Green
26327000,OAK,Green
50361000,BUCHANAN,Green
50361000,POST,Green
24980000,CALIFORNIA,Green
24980000,STOCKTON,Green
25830000,EUREKA,Green
25830000,MARKET,Green
25857000,HAIGHT,Green
25857000,OCTAVIA,Green
25316000,PACIFIC,Green
25316000,POLK,Green
27966000,GREAT HWY,Green
27966000,JOHN F KENNEDY,Green
27599000,08TH AVE,Green
27599000,CALIFORNIA,Green
26031000,DIVISADERO,Green
26031000,OAK,Green
25679000,20TH ST,Green
25679000,DOLORES,Green
24129000,19TH ST,Green
24129000,SOUTH VAN NESS,Green
23821000,04TH ST,Green
23821000,TOWNSEND,Green
20730000,CESAR CHAVEZ,Green
20730000,EVANS,Green
23601000,BRYANT,Green
23601000,EMBARCADERO,Green
25147000,LARKIN,Green
25147000,TURK,Green
26591000,POST,Green
26591000,WEBSTER,Green
26632000,BUSH,Green
26632000,PIERCE,Green
27500000,17TH AVE,Yellow
27500000,GEARY,Green
25690000,17TH ST,Green
25690000,GUERRERO,Green
25974000,EDDY,Green
25974000,WEBSTER,Green
24795000,BROADWAY,Green
24795000,KEARNY,Green
26492000,ELLIS,Green
26492000,GOUGH,Green
22661000,ASHTON,Green
22661000,OCEAN,Green
26840000,BUSH,Green
26840000,EUCLID,Red
26840000,PRESIDIO,Green
20659000,03RD ST,Green
20659000,OAKDALE,Green
20227000,03RD ST,Green
20227000,HUDSON,Green
20224000,03RD ST,Green
20224000,LA SALLE,Green
27741000,34TH AVE,Green
27741000,LINCOLN,Green
30044000,MARKET,Green
30044000,MIDBLOCK AT,Red
30044000,UN PLAZA,Green
20466000,03RD ST,Green
20466000,KEY,Green
24568000,CALIFORNIA,Green
24568000,DAVIS,Green
20229000,03RD ST,Green
20229000,INNES,Green
20229000,NEWHALL,Green
27231000,02ND AVE,Green
27231000,GEARY,Green
24935000,EDDY,Green
24935000,LEAVENWORTH,Green
33541000,FONT,Green
33541000,LAKE MERCED,Green
2428700,HOWARD,Green
2428700,RUSS,Green
23971000,22ND ST,Green
23971000,BRYANT,Green
33705000,LAKE MERCED,Green
33705000,SOUTH STATE,Green
23834000,04TH ST,Green
23834000,BRYANT,Green
23834000,US I-80 OFF RAMP,Green
27335000,19TH AVE,Green
27335000,NORIEGA,Green
25166000,GEARY,Green
25166000,HYDE,Green
24515000,HARRISON,Green
24515000,HAWTHORNE,Green
25940000,FULTON,Green
25940000,GOUGH,Green
54091000,03RD ST,Green
54091000,CAMPUS,Green
23378000,SUNSET,Green
23378000,VICENTE,Green
26555000,BROADWAY,Green
26555000,FRANKLIN,Green
27255000,06TH AVE,Green
27255000,FULTON,Green
24128000,20TH ST,Green
24128000,SOUTH VAN NESS,Green
25617000,23RD ST,Green
25617000,DOLORES,Green
23754000,16TH ST,Green
23754000,DE HARO,Green
26621000,DIVISADERO,Green
26621000,GEARY,Green
21340000,MISSION,Green
21340000,PRECITA,Green
23578000,03RD ST,Green
23578000,16TH ST,Green
25302000,CLAY,Green
25302000,POLK,Green
24691000,FRONT,Green
24691000,SACRAMENTO,Green
24457000,FELL,Green
24457000,FRANKLIN,Green
24349000,13TH ST,Green
24349000,FOLSOM,Green
26524000,BUCHANAN,Green
26524000,SUTTER,Green
27271000,06TH AVE,Green
27271000,BALBOA,Green
22790000,OCEAN,Green
22790000,SAN LEANDRO,Green
20471000,03RD ST,Green
20471000,HOLLISTER,Green
26920000,CALIFORNIA,Green
26920000,LAUREL,Green
12554101,EMBARCADERO,Green
12554101,MIDBLOCK AT,Green
12554101,BROADWAY,Green
12554101,WASHINGTON,Green
27607000,10TH AVE,Green
27607000,CALIFORNIA,Green
24923000,JONES,Green
24923000,TURK,Green
27225000,ANZA,Green
27225000,ARGUELLO,Green
24552000,MISSION,Green
24552000,STEUART,Green
26821000,DIVISADERO,Green
26821000,SACRAMENTO,Green
24001000,20TH ST,Green
24001000,POTRERO,Green
24189000,ALAMEDA,Green
24189000,POTRERO,Green
24333000,HYDE,Green
24333000,MCALLISTER,Green
26567000,GOUGH,Green
26567000,PACIFIC,Green
21812000,CIRCULAR,Green
21812000,MONTEREY,Red
21812000,US I-280 ON/OFF RAMPS,Green
21744000,MISSION,Green
21744000,PERSIA,Green
24925000,EDDY,Green
24925000,TAYLOR,Green
24770000,CLAY,Green
24770000,KEARNY,Green
33539000,JOHN MUIR,Green
33539000,LAKE MERCED,Green
24924000,TAYLOR,Green
24924000,TURK,Green
23536000,03RD ST,Green
23536000,26TH ST,Green
26505000,LAGUNA,Green
26505000,POST,Green
24353000,11TH ST,Green
24353000,HOWARD,Green
25221000,CALIFORNIA,Green
25221000,POLK,Green
30045000,CHARLES J BRENHAM,Green
30045000,MCALLISTER,Green
30050000,CLAY,Green
30050000,DAVIS,Green
25939000,GOUGH,Green
25939000,GROVE,Green
24965000,JONES,Yellow
24965000,POST,Green
25215000,POST,Green
25215000,VAN NESS,Red
25215000,5",Green
24000000,21ST ST,Green
24000000,POTRERO,Green
24198000,09TH ST,Green
24198000,BRYANT,Red
24198000,US 101 N OFF RAMP,Green
27538000,22ND AVE,Green
27538000,GEARY,Green
2864000,BEALE,Green
2864000,NATOMA (TRANSBAY DRIVEWAY),Green
25706000,16TH ST,Green
25706000,DOLORES,Green
26346000,ASHBURY,Green
26346000,OAK,Green
22921000,CLAREMONT,Green
22921000,PORTOLA,Green
27372000,19TH AVE,Green
27372000,IRVING,Green
25468000,CHESTNUT,Green
25468000,COLUMBUS,Red
25468000,TAYLOR,Green
25226000,PINE,Green
25226000,VAN NESS,Green
24524000,ESSEX,Green
24524000,FOLSOM,Green
26038000,FELL,Green
26038000,STEINER,Green
26076000,DIVISADERO,Green
26076000,EDDY,Green
24311000,08TH ST,Green
24311000,MISSION,Green
33719000,20TH AVE,Green
33719000,WINSTON,Green
24724000,BUSH,Green
24724000,KEARNY,Green
22744000,OCEAN,Green
22744000,VICTORIA,Green
26057000,DIVISADERO,Green
26057000,FULTON,Green
23887000,05TH ST,Green
23887000,BRANNAN,Green
27087000,06TH AVE,Green
27087000,LINCOLN,Green
26693000,FRANKLIN,Yellow
26693000,GREENWICH,Green
22628000,CAPITOL,Green
22628000,OCEAN,Green
26706000,FRANCISCO,Green
26706000,VAN NESS,Green
21304000,CESAR CHAVEZ,Green
21304000,MISSION,Green
21750000,ALEMANY,Green
21750000,ONONDAGA,Green
20238000,03RD ST,Green
20238000,FAIRFAX,Green
26106000,GLENDALE,Green
26106000,MARKET,Green
27557000,27TH AVE,Green
27557000,GEARY,Green
26504000,BUSH,Green
26504000,GOUGH,Green
24421000,11TH ST,Green
24421000,MISSION,Green
24819000,BATTERY,Green
24819000,EMBARCADERO,Red
24819000,LOMBARD,Green
20299000,BAYSHORE,Green
20299000,BLANKEN,Green
24540000,02ND ST,Green
24540000,HOWARD,Green
26608000,BUSH,Green
26608000,FILLMORE,Green
24674000,CALIFORNIA,Green
24674000,FRONT,Green
26842000,LYON,Green
26842000,PINE,Green
21502000,LOWELL,Green
21502000,MISSION,Green
21502000,NAGLEE,Green
23202000,19TH AVE,Green
23202000,RIVERA,Green
52189000,PHELAN,Green
52189000,PHELAN LOOP,Green
24959000,JONES,Green
24959000,SUTTER,Green
24941000,GEARY,Green
24941000,TAYLOR,Green
26427000,FREDERICK,Green
26427000,STANYAN,Green
25480000,NORTH POINT,Green
25480000,POWELL,Green
25485000,BEACH,Yellow
25485000,MASON,Green
24459000,GROVE,Green
24459000,VAN NESS,Green
21517000,ALEMANY,Green
21517000,MOUNT VERNON,Green
26976000,BRODERICK,Green
26976000,LOMBARD,Red
26976000,RICHARDSON,Green
27520000,25TH AVE,Green
27520000,CABRILLO,Green
26554000,FRANKLIN,Green
26554000,GREEN,Green
26047000,PIERCE,Green
26047000,TURK,Green
24911000,BUSH,Green
24911000,STOCKTON,Green
25589000,LARKIN,Green
25589000,NORTH POINT,Green
26048000,STEINER,Green
26048000,TURK,Green
33434000,ALEMANY,Green
33434000,BROTHERHOOD,Green
23952000,25TH ST,Green
23952000,POTRERO,Green
21444000,GENEVA,Green
21444000,PARIS,Green
24679000,BUSH,Green
24679000,SANSOME,Green
27472000,BALBOA,Green
27472000,PARK PRESIDIO,Green
23938000,04TH ST,Green
23938000,FOLSOM,Green
24760000,PACIFIC,Green
24760000,SANSOME,Green
23800000,02ND ST,Green
23800000,TOWNSEND,Green
20485000,03RD ST,Green
20485000,WALLACE,Green
25824000,15TH ST,Green
25824000,CASTRO,Green
26077000,DIVISADERO,Green
26077000,TURK,Green
25958000,FULTON,Green
25958000,LAGUNA,Green
21703000,MISSION,Green
21703000,TRUMBULL,Green
25701000,15TH ST,Green
25701000,GUERRERO,Green
25157000,LEAVENWORTH,Yellow
25157000,POST,Green
24905000,CYRIL MAGNIN,Green
24905000,O'FARRELL,Green
24749000,GRANT,Green
24749000,SACRAMENTO,Green
24081000,22ND ST,Green
24081000,SOUTH VAN NESS,Green
23787000,16TH ST,Green
23787000,MISSOURI,Green
22049000,MISSION,Green
22049000,SENECA,Green
23592000,EMBARCADERO,Green
23592000,KING,Green
23592000,TOWNSEND,Green
23592000,PIER 40,Green
34155000,03RD ST,Green
34155000,CHANNEL,Green
23831000,03RD ST,Green
23831000,BRYANT,Green
26030000,FELL,Green
26030000,SCOTT,Green
26605000,CALIFORNIA,Green
26605000,WEBSTER,Green
25410000,BAY,Green
25410000,STOCKTON,Green
4971000,DRUMM,Green
4971000,MIDBLOCK AT,Green
4971000,CLAY,Green
4971000,SACRAMENTO,Green
24171000,15TH ST,Green
24171000,MISSION,Green
27854000,33RD AVE,Green
27854000,GEARY,Green
25898000,HAIGHT,Green
25898000,WEBSTER,Green
25583000,BAY,Green
25583000,LARKIN,Green
30049000,CALIFORNIA,Green
30049000,DRUMM,Green
26539000,FRANKLIN,Green
26539000,WASHINGTON,Green
33364000,CESAR CHAVEZ,Green
33364000,SOUTH VAN NESS,Green
33027000,13TH ST,Green
33027000,DUBOCE,Green
33027000,MISSION,Green
33027000,OTIS,Green
21772000,ALEMANY,Green
21772000,SANTA ROSA,Green
25684000,18TH ST,Green
25684000,DOLORES,Green
23944000,05TH ST,Green
23944000,HOWARD,Green
24077000,22ND ST,Green
24077000,FOLSOM,Green
26392000,MASONIC,Green
26392000,TURK,Red
26392000,5",Green
24958000,SUTTER,Green
24958000,TAYLOR,Green
26377000,GROVE,Green
26377000,MASONIC,Green
26347000,FELL,Green
26347000,MASONIC,Green
25814000,17TH ST,Green
25814000,CASTRO,Red
25814000,MARKET,Green
22193000,HOWTH,Green
22193000,OCEAN,Green
25475000,BEACH,Green
25475000,EMBARCADERO,Green
25475000,GRANT,Green
26974000,DIVISADERO,Green
26974000,LOMBARD,Green
27183000,KEZAR,Green
27183000,MARTIN LUTHER KING JR,Green
25032000,GRANT,Green
25032000,PACIFIC,Green
33718000,19TH AVE,Green
33718000,WINSTON,Green
24716000,BUSH,Green
24716000,MONTGOMERY,Green
24429000,08TH ST,Green
24429000,GROVE,Green
24429000,HYDE,Green
24429000,MARKET,Green
26585000,ELLIS,Green
26585000,WEBSTER,Green
27149000,07TH AVE,Yellow
27149000,IRVING,Green
24522000,01ST ST,Green
24522000,FOLSOM,Green
27304000,12TH AVE,Green
27304000,GEARY,Green
26629000,BUSH,Green
26629000,STEINER,Green
25804000,16TH ST,Green
25804000,MARKET,Red
25804000,NOE,Green
23572000,03RD ST,Green
23572000,MARIPOSA,Green
26340000,CENTRAL,Green
26340000,HAIGHT,Green
27555000,25TH AVE,Green
27555000,CLEMENT,Green
30741000,JONES,Green
30741000,MARKET,Red
30741000,MCALLISTER,Green
24113000,21ST ST,Green
24113000,MISSION,Green
22449000,HERNANDEZ,Green
22449000,WOODSIDE,Green
20473000,03RD ST,Green
20473000,INGERSON,Green
25165000,BUSH,Green
25165000,LEAVENWORTH,Green
23784000,16TH ST,Green
23784000,OWENS,Green
24044000,17TH ST,Green
24044000,BRYANT,Green
21379000,GENEVA,Green
21379000,PRAGUE,Green
24246000,09TH ST,Green
24246000,FOLSOM,Green
24448000,FELL,Green
24448000,VAN NESS,Green
25234000,HYDE,Green
25234000,PINE,Green
9095000,MISSION,Green
9095000,MIDBLOCK AT,Green
9095000,03RD ST,Green
9095000,04TH ST,Green
52238000,OCEAN,Green
52238000,ON RAMP I-280,Green
23555000,03RD ST,Yellow
23555000,22ND ST,Green
23421000,PACHECO,Green
23421000,SUNSET,Green
25335000,STOCKTON,Green
25335000,VALLEJO,Green
26501000,GOUGH,Green
26501000,POST,Green
26843000,CALIFORNIA,Green
26843000,LYON,Green
33158000,BACON,Green
33158000,BAYSHORE,Green
33158000,EGBERT,Green
33158000,PHELPS,Green
25227000,FRANKLIN,Green
25227000,PINE,Green
26709000,GOUGH,Green
26709000,UNION,Green
27486000,15TH AVE,Green
27486000,GEARY,Green
27484000,CLEMENT,Green
27484000,PARK PRESIDIO,Green
26818000,CALIFORNIA,Green
26818000,DIVISADERO,Green
24233000,10TH ST,Green
24233000,FOLSOM,Green
26079000,BRODERICK,Green
26079000,TURK,Green
27143000,07TH AVE,Green
27143000,JUDAH,Green
3241201,BROTHERHOOD,Green
3241201,SUMMIT,Green
6436203,GREAT HWY,Green
6436203,RIVERA,Green
24929000,EDDY,Green
24929000,JONES,Green
24548000,HOWARD,Green
24548000,STEUART,Green
26005000,CASTRO,Green
26005000,DUBOCE,Green
30756000,MARKET,Green
30756000,OCTAVIA,Green
30756000,OCTAVIA RAMPS,Green
30756000,8",Green
23796000,03RD ST,Green
23796000,BERRY,Green
25573000,COLUMBUS,Yellow
25573000,LEAVENWORTH,Green
25573000,NORTH POINT,Green
23779000,16TH ST,Green
23779000,VERMONT,Green
25164000,LEAVENWORTH,Green
25164000,SUTTER,Green
25860000,DUBOCE,Green
25860000,GUERRERO,Green
26508000,CALIFORNIA,Green
26508000,GOUGH,Green
26531000,BUCHANAN,Green
26531000,BUSH,Green
25154000,GEARY,Green
25154000,LEAVENWORTH,Green
22757000,APTOS,Green
22757000,OCEAN,Green
27510000,22ND AVE,Green
27510000,FULTON,Green
21175000,BESSIE,Green
21175000,FOLSOM,Red
21175000,PRECITA,Green
26074000,SCOTT,Green
26074000,TURK,Green
25144000,ELLIS,Green
25144000,HYDE,Green
25252000,CALIFORNIA,Green
25252000,HYDE,Green
33776000,BRYANT,Green
33776000,MAIN,Green
24901000,GEARY,Green
24901000,STOCKTON,Green
30726000,MARKET,Green
30726000,SPEAR,Green
25352000,COLUMBUS,Green
25352000,GREEN,Green
25352000,STOCKTON,Green
26489000,ELLIS,Green
26489000,FRANKLIN,Green
25964000,EDDY,Green
25964000,LAGUNA,Green
24726000,MONTGOMERY,Green
24726000,PINE,Green
22052000,ALEMANY,Green
22052000,GENEVA,Green
24144000,20TH ST,Green
24144000,MISSION,Green
20992000,CAMBRIDGE,Yellow
20992000,SILVER,Green
33269000,03RD ST,Green
33269000,MENDELL,Red
33269000,PALOU,Green
20660000,03RD ST,Green
20660000,NEWCOMB,Green
24138000,16TH ST,Green
24138000,FOLSOM,Green
30070000,OAK,Green
30070000,OCTAVIA,Green
12547101,EMBARCADERO,Green
12547101,MIDBLOCK AT,Green
12547101,BRANNAN,Green
12547101,TOWNSEND,Green
27262000,10TH AVE,Green
27262000,FULTON,Green
26319000,BAKER,Green
26319000,OAK,Green
25484000,EMBARCADERO,Green
25484000,JEFFERSON,Red
25484000,POWELL,Green
25827000,DIAMOND,Green
25827000,MARKET,Green
27821000,33RD AVE,Green
27821000,FULTON,Green
25972000,TURK,Green
25972000,WEBSTER,Green
25909000,OCTAVIA,Green
25909000,PAGE,Green
21773000,MISSION,Green
21773000,SANTA ROSA,Green
20213000,03RD ST,Green
20213000,MCKINNON,Green
24871000,CHESTNUT,Green
24871000,EMBARCADERO,Green
24871000,SANSOME,Green
26759000,LAGUNA,Green
26759000,MARINA,Green
26029000,DIVISADERO,Green
26029000,PAGE,Green
23183000,19TH AVE,Green
23183000,TARAVAL,Green
24132000,18TH ST,Green
24132000,SOUTH VAN NESS,Green
21177000,CESAR CHAVEZ,Yellow
21177000,FOLSOM,Green
25315000,BROADWAY,Green
25315000,POLK,Green
24892000,04TH ST,Green
24892000,ELLIS,Green
24892000,MARKET,Green
24892000,STOCKTON,Green
25723000,17TH ST,Green
25723000,CHURCH,Green
30770000,CLAY,Green
30770000,GRANT,Green
25596000,JEFFERSON,Green
25596000,JONES,Green
21541000,MISSION,Green
21541000,MORSE,Red
21541000,WHITTIER,Green
26466000,CHABOT,Green
26466000,TURK,Green
5871000,FRONT,Green
5871000,MIDBLOCK AT,Green
5871000,CLAY,Green
5871000,SACRAMENTO,Green
27487000,16TH AVE,Green
27487000,GEARY,Green
25698000,16TH ST,Green
25698000,GUERRERO,Green
25321000,BROADWAY,Green
25321000,COLUMBUS,Green
25321000,GRANT,Green
24644000,KEARNY,Green
24644000,POST,Green
26025000,HAIGHT,Green
26025000,SCOTT,Green
26764000,BAY,Green
26764000,CERVANTES,Green
26764000,FILLMORE,Green
24696000,BATTERY,Green
24696000,JACKSON,Green
26722000,LAGUNA,Green
26722000,LOMBARD,Green
27553000,25TH AVE,Green
27553000,GEARY,Green
24101000,24TH ST,Yellow
24101000,VALENCIA,Green
26609000,FILLMORE,Green
26609000,PINE,Green
30753000,GOUGH,Green
30753000,HAIGHT,Red
30753000,MARKET,Green
20515000,03RD ST,Green
20515000,DONNER,Green
26623000,DIVISADERO,Green
26623000,POST,Green
26825000,BAKER,Green
26825000,BUSH,Green
24703000,CLAY,Green
24703000,SANSOME,Green
22924000,PORTOLA,Green
22924000,SANTA CLARA,Red
22924000,VICENTE,Green
30727000,DRUMM,Green
30727000,MAIN,Red
30727000,MARKET,Green
27655000,25TH AVE,Green
27655000,LAKE,Green
22436000,O'SHAUGHNESSY,Green
22436000,PORTOLA,Green
22436000,WOODSIDE,Green
25027000,JACKSON,Green
25027000,STOCKTON,Green
27441000,CROSS OVER,Green
27441000,MARTIN LUTHER KING JR,Green
25602000,25TH ST,Green
25602000,GUERRERO,Green
25950000,FELL,Green
25950000,WEBSTER,Green
24048000,16TH ST,Green
24048000,BRYANT,Green
24573000,DAVIS,Green
24573000,SACRAMENTO,Green
27341000,19TH AVE,Green
27341000,MORAGA,Green
23021000,19TH AVE,Green
23021000,CRESPI,Green
24238000,11TH ST,Green
24238000,FOLSOM,Green
24133000,18TH ST,Green
24133000,CAPP,Green
25153000,LEAVENWORTH,Yellow
25153000,O'FARRELL,Green
23110000,HIGUERA,Green
23110000,LAKE MERCED,Green
6436207,GREAT HWY,Green
6436207,LAWTON,Green
24503000,FOLSOM,Green
24503000,MAIN,Green
33561000,07TH AVE,Green
33561000,LINCOLN,Green
24897000,EDDY,Green
24897000,MASON,Green
23493000,47TH AVE,Green
23493000,SLOAT,Green
23150000,19TH AVE,Green
23150000,WAWONA,Green
27156000,09TH AVE,Green
27156000,LINCOLN,Green
23811000,03RD ST,Green
23811000,BRANNAN,Green
25190000,ELLIS,Green
25190000,VAN NESS,Green
26534000,BUCHANAN,Green
26534000,CALIFORNIA,Green
22654000,FAXON,Green
22654000,OCEAN,Green
24272000,08TH ST,Green
24272000,FOLSOM,Green
25304000,JACKSON,Green
25304000,POLK,Green
26547000,BROADWAY,Green
26547000,VAN NESS,Green
28013000,48TH AVE,Green
28013000,EL CAMINO DEL MAR,Green
28013000,POINT LOBOS,Green
26589000,FILLMORE,Green
26589000,O'FARRELL,Green
25213000,FRANKLIN,Green
25213000,GEARY,Green
26440000,PAGE,Green
26440000,STANYAN,Green
7826101,KEZAR,Green
7826101,MIDBLOCK AT,Green
7826101,JOHN F KENNEDY,Green
7826101,WALLER,Green
23854000,07TH ST,Green
23854000,TOWNSEND,Green
25178000,ELLIS,Yellow
25178000,POLK,Green
21332000,29TH ST,Green
21332000,MISSION,Green
52248000,MARIPOSA,Green
52248000,OFF RAMP I-280,Green
52248000,ON RAMP I-280,Green
52248000,OWENS,Green
23077000,19TH AVE,Green
23077000,EUCALYPTUS,Green
25014000,CLAY,Green
25014000,POWELL,Green
26180000,CLAYTON,Green
26180000,MARKET,Green
27704000,MORAGA,Green
27704000,SUNSET,Green
24692000,BATTERY,Green
24692000,SACRAMENTO,Green
26303000,CARL,Green
26303000,STANYAN,Green
23906000,04TH ST,Green
23906000,HARRISON,Red
23906000,US I-80 ON RAMP,Green
24299000,08TH ST,Green
24299000,HOWARD,Green
21762000,AVALON,Green
21762000,MISSION,Green
21762000,THERESA,Green
26529000,CALIFORNIA,Green
26529000,OCTAVIA,Green
25185000,FRANKLIN,Green
25185000,TURK,Green
26354000,FELL,Green
26354000,LYON,Green
25631000,22ND ST,Green
25631000,DOLORES,Green
25524000,BAY,Green
25524000,TAYLOR,Green
27566000,ARGUELLO,Green
27566000,CALIFORNIA,Green
23366000,SUNSET,Green
23366000,YORBA,Green
24450000,HAYES,Green
24450000,VAN NESS,Green
21329000,30TH ST,Green
21329000,EUGENIA,Green
21329000,MISSION,Green
23652000,04TH ST,Green
23652000,MARIPOSA,Red
23652000,MINNESOTA,Green
24632000,04TH ST,Green
24632000,MISSION,Green
11010101,BAKER,Green
11010101,CHESTNUT,Red
11010101,RICHARDSON,Green
25899000,FILLMORE,Green
25899000,HAIGHT,Green
24003000,19TH ST,Green
24003000,POTRERO,Green
26686000,UNION,Green
26686000,VAN NESS,Green
26372000,CENTRAL,Green
26372000,FULTON,Green
26965000,LOMBARD,Green
26965000,PIERCE,Green
26066000,McALLISTER,Green
26066000,SCOTT,Green
24160000,18TH ST,Green
24160000,VALENCIA,Green
21740000,ALEMANY,Green
21740000,SAN JUAN,Green
24073000,25TH ST,Green
24073000,MISSION,Green
20247000,03RD ST,Green
20247000,ARTHUR,Green
20247000,CARGO,Green
20231000,03RD ST,Green
20231000,GALVEZ,Green
27483000,GEARY,Green
27483000,PARK PRESIDIO,Green
24590000,03RD ST,Green
24590000,HOWARD,Green
27981000,FULTON,Green
27981000,GREAT HWY,Green
20708000,CESAR CHAVEZ,Green
20708000,INDIANA,Green
24123000,19TH ST,Green
24123000,FOLSOM,Green
24111000,22ND ST,Green
24111000,MISSION,Green
25865000,DOLORES,Green
25865000,MARKET,Green
26640000,CALIFORNIA,Yellow
26640000,PIERCE,Green
20472000,03RD ST,Green
20472000,GILMAN,Red
20472000,PAUL,Green
24083000,21ST ST,Green
24083000,SOUTH VAN NESS,Green
24575000,CLAY,Green
24575000,DRUMM,Green
24509000,FREMONT,Green
24509000,HARRISON,Green
30056000,DAVIS,Green
30056000,WASHINGTON,Green
26345000,MASONIC,Green
26345000,OAK,Green
23070000,EUCALYPTUS,Green
23070000,JUNIPERO SERRA,Red
23070000,OCEAN,Green
24671000,BATTERY,Green
